iter	Passed	Remaining
0	0	98
1	1	85
2	2	79
3	3	72
4	3	70
5	4	69
6	5	68
7	5	67
8	6	66
9	7	65
10	8	64
11	8	64
12	9	63
13	10	64
14	11	63
15	11	62
16	12	61
17	13	60
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	19	53
27	20	52
28	21	52
29	22	51
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	47
36	27	46
37	28	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	39
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	43	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	56	17
76	57	17
77	58	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	73	0
